Serial,Customer No,Rooms,Members,Fans,Lights,Freezes,Microwave Oven,Geyser,AC,Washing Machine,TV,PC,Induction Stove,Profession,Salary,post_21_july_unit,post_21_august_unit,post_21_sep_unit,post_21_oct_unit,post_21_nov_unit,post_21_dec_unit,post_22_jan_unit,post_22_feb_unit,post_22_mar_unit,post_22_april_unit,post_22_may_unit,post_22_june_unit,pre_22_apr_unit,pre_22_may_unit,pre_22_june_unit,pre_22_july_unit,pre_22_aug_unit,pre_22_sep_unit,pre_22_oct_unit,pre_22_nov_unit,pre_22_dec_unit,pre_23_jan_unit,pre_23_feb_unit,pre_23_mar_unit,pre_23_apr_unit,pre_23_may_unit,pre_23_june_unit,pre_23_jul_unit,pre_23_aug_unit,pre_23_sep_unit,pre_23_oct_unit,pre_23_nov_unit,pre_23_dec_unit,,
22,17659482,1,2,1,1,0,0,0,0,0,0,0,0,,,169,239,259,328,292,305,268,248,312,305,368,226,,,94.75,300.23,324.4,291.84,316.56,321.67,291.56,272.83,282.03,335.68,274.24,337.05,360.85,337.9,317.7,308.62,314.62,278.94,275.93,,
23,17659478,3,4,3,4,1,0,0,0,0,0,0,0,,,245,275,228,271,156,100,71,66,168,206,251,167,,,62.01,217.06,209.36,198.36,175.35,145.62,103.44,61.26,78.61,154.17,169.16,176.27,193.45,218.57,211.43,200.96,208.78,163.38,111.21,,
24,17659459,4,4,4,6,1,0,0,1,0,1,1,0,,,429,477,479,441,166,118,87,93,297,434,571,348,,,125.63,601,619.9,446.91,375.19,147.91,95.07,71.76,89.5,143.46,600.63,542.47,709.03,571.66,513.98,515.22,339.61,182.78,100,,
25,17659444,4,4,4,6,1,1,0,1,0,1,1,0,,,304,324,287,302,207,167,153,157,242,265,323,210,,,60.11,228.73,266.69,257.25,236.67,196.99,159.95,155.21,154.66,204.55,255.65,249.72,269.59,300.47,316.35,282.12,273.94,243.48,201.71,,
26,17337410,3,4,3,3,1,0,0,0,0,1,0,0,Business,15000,607,650,633,534,364,144,124,106,356,533,438,0,,0,520.02,530.08,550.84,382.72,545,824.15,236.46,148.47,217.72,436.46,613.93,196.74,140.41,255.15,59.58,230.67,132.76,335.4,140.55,,
27,17718284,6,5,8,28,3,1,1,3,1,3,2,1,Private job,200000,620,659,728,703,476,300,307,110,101.01,90,85.09,,689.49,503.3,698.96,789.59,768.75,663.37,520.24,327.58,318.89,354.48,295.39,349.21,553.9,674.01,959.63,721.05,772.56,663.06,503.77,333.82,264.43,,
28,17718481,5,5,4,7,1,1,0,2,0,1,1,0,public service,,446,415,505,350,311,160,194,52,69,76.66,99.55,,424.5,409.52,413.48,417.74,488.68,371.34,280.85,216.58,202.1,163.19,190.9,284.44,511.99,475.13,567.96,521.58,468.3,452.62,426.56,262.07,194.11,,
29,17718299,5,6,6,12,2,0,0,0,0,1,1,0,Service,,385,395,429,320,261,158,178,58,69,76.66,94.55,,326.38,326.16,331.78,333.43,349.43,344.22,295.56,189.68,173.62,171.78,155.82,245.53,295.81,302.65,314.6,328.67,346.87,348.64,331.52,238.26,209.27,,
30,17718477,5,10,6,9,2,0,0,1,0,1,0,0,Business,,493,504,634,489,301,208,203,53,59,76.53,.11.53,,541.59,431.81,438.86,495.55,526.74,481.35,369.3,287.13,220.58,177.55,218.78,320.15,465.3,440.59,561.15,576.76,551.13,537.94,434.62,310.64,263.55,,
31,17718301,5,4,6,14,1,1,1,2,1,2,3,1,Business,,172,179,277,157,115,130,105,9,32.88,55.967,88.65,,264.23,93.37,143.8,132.43,127.14,64.45,103.53,75.16,150.34,131.84,104.55,128.4,218.23,263.92,357.36,206.82,248.6,257.49,219.4,129.24,180.57,,
32,17718316,4,7,5,5,2,1,0,1,0,1,0,0,,,1081,1030,1290,992,787,555,640,167,778.08,800.8,860,,1038.14,1092.47,1099.62,1265.72,1266.46,1110.3,935.65,692.01,616.11,544.3,502.41,691.23,1127.43,1176.67,1333.28,1299.73,1248.6,1266.71,1076.29,643.25,428.95,,
34,17718341,5,5,5,18,1,1,0,2,0,1,2,0,Business,,629,527,723,604,377,145,165,52,201.4,49.55,55,,487.6,522.05,697.48,765.78,815.47,584.27,461.98,274.23,184.36,176.15,187.62,308.37,606.33,620.28,903.08,705.89,821.25,935.52,672.1,454.74,203.32,,
35,17718411,5,2,6,15,1,0,1,2,0,0,0,0,Retired,,359,363,318,227,210,166,197,62,71.76,89.5,143.46,,256.81,292.68,248.34,358.07,233.58,267.97,224.4,216.72,209.01,186.62,191.43,227.05,349.67,230.52,256.74,289.28,240.97,229.45,265.1,83.61,122.72,,
36,17718388,3,6,5,8,2,1,0,1,0,2,0,0,Private Service,,372,341,410,311,184,181,161,49,126.89,152.68,266.55,,362.35,344.58,353.6,399.31,404.37,384.11,325.09,259.84,236.75,195.76,197.51,322.82,397.09,407.14,472.34,469.59,384.52,429.71,351.41,245.44,220.03,,
37,17718271,6,5,8,20,3,1,3,6,1,3,1,0,Retired,,824,791,804,766,497,276,299,211,116.71,128.49,259.39,,854.39,807.4,837.3,941.85,898.42,756.74,658.31,506.24,416.46,332.74,358.71,590.71,681.53,665.76,672.81,684.56,644.41,696.48,600.9,463.54,370.25,,
38,17718496,6,5,8,20,3,1,3,6,1,3,1,0,Retired,,758,735,785,657,589,484,536,184,551.13,537.94,434.62,,739.66,735.05,711.15,784.95,772.84,781.78,668.72,466.15,401.38,405.18,437.83,519.25,775.56,614.77,602.46,690.72,566.48,652.94,553,316.96,218.05,,
40,17669884,3,3,3,5,1,1,0,0,0,1,1,0,Business,,246,263,273,247,211,146,97,92,58,20,19.33,,87.46,167.77,139.25,142.2,166.16,148.45,95.48,59.27,123.7,75.23,81.99,138.18,126.89,152.68,266.55,225.01,222.52,219.76,169.03,121.77,122.44,,
41,17669969,3,2,3,5,1,1,0,0,0,1,1,0,Business,,239,238,214,194,157,116,99,93,116,29,35,,230.57,174.42,196.87,188.74,197.16,168.96,176.31,157.72,110.62,93.34,84.14,106.16,172.51,119.77,169.27,173.96,183.92,171.61,175.46,125.61,99.79,,
42,17670074,4,3,4,10,1,1,0,1,0,1,1,,Business,,20,59,68,75,87,109,121,71,111,99.04,89.08,,242.53,249.72,298.77,213.09,299.16,285.29,198.02,150.59,132.41,99.04,89.08,119.61,206.09,294.06,311.09,153.73,184.82,210.56,264.34,144.51,91.17,,
44,17670061,6,4,4,8,1,0,0,0,0,1,1,0,,,335,372,385,352,320,270,257,227,272,215.47,122.31,,347.05,367.5,360.62,393.12,382.22,377.98,313.77,312.07,235.06,264.33,255.64,327.19,307.95,343.01,314.05,287.78,319.45,323.25,306.02,270.75,230.17,,
45,17670125,3,4,3,10,2,1,2,3,0,1,0,0,Private Service,,989,1015,1434,1445,1249,763,948,744,427,303,279,,1232.42,1204.84,1191.6,1260.57,1499.19,1444.74,1273.97,928.07,873.65,1015.28,1131.16,1848.92,1596.15,1489.59,1831.7,1900.32,1459.67,1724.73,3127.87,1562.29,833.53,,
46,17670106,4,4,4,7,1,0,0,0,0,1,1,0,Service,,224,232,213,198,144,76,70,73,116,168.96,176.31,,178.34,170.38,187.25,219.98,169.1,175.34,170.68,137.21,83.73,77.84,93.63,155.47,185.99,186.73,207.05,166.32,206.48,195.07,202.49,157.04,96.02,,
47,17669941,4,4,3,6,1,0,0,1,0,1,1,,,,445,416,510,470,411,349,371,337,300,99.04,89.08,,412.12,423.6,404.69,402.68,351.08,293.75,286.51,256.26,273.39,251.68,217.12,271.26,454.36,414.82,587.73,620.54,426.78,468.02,348.81,265.49,294.68,,
48,17669795,5,4,7,30,2,1,2,2,0,1,1,0,Business,200000,442,461,529,564,513,455,495,424,223,241,175.34,,1088.88,957.3,1071.38,1182.48,1608.96,1121.2,1043.34,955.96,959.9,1117.36,1015.98,1139.7,1301.82,1064.46,1491.68,1301.08,1199.66,1402.3,1334.34,1012.52,903.24,,
49,17670040,3,5,5,14,2,1,0,1,1,2,3,1,Private Job,,280,297,303,274,228,144,103,88,176,187.25,219.98,,266.6,278.27,258.91,285.58,282.35,263.15,241.63,199.02,120.72,100.1,117.45,219.26,264.16,400.45,510.32,507.48,430.86,451.56,369.06,237.15,130.32,,
50,17670017,3,3,3,5,1,1,0,1,0,1,0,0,Business,,590,596,915,811,382,224,183,164,205,285.58,282.35,,474.84,571.52,472.02,399.57,680.66,551.42,525.07,308.14,205.11,156.01,183.2,266.77,798.36,657.96,612.98,451.58,689.8,725.51,548.11,252.18,188.9,,
51,17669795,3,4,3,7,1,1,0,1,0,1,0,,Business,,442,461,529,564,513,455,495,424,223,241,100.1,,497.8,435.37,531.06,518.89,517.29,487.66,349.07,201.1,151.68,181.51,161.89,220.79,402.33,535.99,539.52,499.9,452.3,372.98,285.36,209.23,187.72,,
52,17669992,2,3,3,5,1,1,1,1,1,1,1,0,Doctor,,478,479,627,535,304,198,209,174,220,175.34,170.68,,497.8,435.37,531.06,518.89,517.29,487.66,349.07,201.1,151.68,181.51,161.89,220.79,402.33,535.99,539.52,499.9,452.3,372.98,285.36,209.23,187.72,,
53,17669988,3,4,3,6,2,0,1,1,0,1,1,0,Banker,,455,469,473,410,312,198,206,192,281,372.98,285.36,,464.68,442.81,471.68,524.91,502.6,481.63,423.28,293.01,179.53,205.32,208.17,317.18,517.12,518.6,566.22,577.79,537.97,508.57,461.21,261.75,165.38,,
55,17670021,3,3,3,8,1,1,0,2,0,0,1,0,Doctor,,639,564,842,741,259,192,155,140,290,205.32,208.17,,828.67,456.67,745.44,424.78,869.7,692.09,505.16,224.22,166.79,157.99,189.11,146.43,78.33,93.85,13.22,41.83,324.1,289.43,261.5,175.57,129.82,,
56,17670002,4,4,4,7,1,0,0,1,0,1,0,0,Foreign,,238,308,362,278,185,128,140,132,149,50,59.4,,267.44,228.88,664.08,700.74,693.48,586.93,335.26,217.19,149.08,114.94,152.21,265.45,375.99,480.02,658.62,501.5,493.61,636.51,409.27,215.47,122.31,,
57,16008925,3,4,3,5,1,0,1,1,0,1,1,0,Private Job,,184,170,145,114,91,26,37,57,67,24,54,,132.92,101.28,135.02,90.02,123.73,143.71,132.24,98.34,70.53,59.4,69.43,114.17,114.23,148.09,210.05,282.57,260.06,233.73,228.39,127.57,41.96,,
58,17669846,5,3,5,8,2,0,1,2,1,1,1,0,Private Job,,313,341,366,303,235,173,166,148,181,304.8,221.86,,301.19,321.28,319.45,325.06,381.46,320.45,299.59,219.71,172.21,150.74,164.09,217.61,358.71,350.81,399.05,430.15,331.92,359.29,358.77,246.96,187.14,,
59,17670036,2,5,4,1,1,0,0,0,0,1,1,0,,,235,265,271,243,199,147,121,107,163,154,201.09,,232.24,255.47,251.2,251.06,255.35,261.85,232.37,199.34,154.81,100.97,114.4,189.56,221.91,236.89,230.76,247.07,244.48,249.53,247.69,176.28,120.42,,
60,17670055,3,4,4,9,1,0,0,2,0,2,0,0,Business,50000,180,202,14,306,279,153,122,105,174,132,153,,267.63,307.97,288.08,307.09,335.97,309.52,289.15,210.47,172.07,159.78,181.85,287.05,369.22,474.47,654.46,609.91,585.49,549.7,478.88,308.62,198.16,,
62,16013902,4,7,4,9,2,1,0,2,1,2,1,0,,,114,109,108,86,59,46,241,285.29,198.02,52,113,13,,,88.1,129.97,121.56,120.24,122.36,108.14,97.48,106.6,83.89,125.03,186.49,193.73,235.69,172.83,153.07,136.51,114.73,95.34,70.93,,
64,16013936,3,3,4,6,1,0,0,0,0,1,0,0,,,119,113,129,123,83,63,56,60,90,131,141,36,,,102.7,142.96,143.51,132.38,129,82.47,85.11,71.85,72.11,95.92,130.83,128.65,143.68,159.61,168.83,151.89,134.26,95.41,76.92,,
65,16013940,2,3,3,6,1,0,0,1,0,1,1,0,,,213,219,211,201,160,149,163,121,150,158,220,47,,,133.55,187.32,154.51,173.05,156.98,149.56,147.98,167.14,145.94,161.89,169.83,134.77,151.01,167.78,179.74,154.3,158.34,124.42,149.13,,
68,16008791,3,6,4,7,1,0,0,0,0,1,2,0,,,377,460,308,265,304,279,236,194,157,110,123,,170.61,444.18,539.38,384.19,627.77,572.81,484.17,276.36,219.25,191.23,147.69,353.74,462.27,432.01,345.83,248.18,504.86,570.43,499.98,535.9,482.94,,
69,16008874,2,3,3,5,1,0,0,0,0,1,1,0,,,197,280,329,373,233,247,295,261,237,275,336,77,,,215.59,324.16,286.87,258.48,258.1,206.18,329.96,271.56,198.86,179.89,268.45,200.65,414.73,321.59,301.25,321.06,186.31,84.2,211.98,,
70,16008910,3,7,4,6,2,1,0,1,1,2,2,0,,,633,645,627,652,453,357,341,332,535,582,669,386,,,162.16,617.66,503.61,485.28,450.35,344.76,309.08,299.24,296.23,449.71,597.16,564.2,591.8,666.72,687.12,676.51,598.35,483.69,377.06,,
71,17336658,2,2,3,4,1,0,0,0,0,0,0,0,,,11,13,33,36,38,23,26,14,27,42,41,18,,,13.17,24.56,21.07,21.13,35.63,41.37,26.4,22.96,26.56,38.67,37.7,42.94,56.26,52.95,54.11,48.75,44.03,34.26,27.56,,
74,17671778,2,2,4,5,1,0,0,0,0,1,2,0,,,203,10,8,9.8,6.6,29,49,48,188,300,258,68,,,208.61,290.8,324.66,254.95,211.31,111.87,158.14,190.96,165.91,197.29,239.16,271.07,288.85,305.52,251.7,190.86,200.03,167.31,125.57,,
75,17671782,2,2,3,5,1,0,0,0,0,0,1,0,,,144,164,137,119,61,38,38,34,94,136,156,35,,,218.26,244.32,220.1,223.39,180.4,143.35,65.39,41.03,76.63,133.58,245.49,302.42,335.86,353.11,230.38,185.45,317.87,107.96,79.61,,
76,17671797,3,5,4,6,2,1,1,2,1,1,2,0,,,725,768,619,631,558,391,405,382,506,622,500,0,,,492.95,742.05,664.16,617.35,601.09,452.33,392.77,477.61,370.59,521.96,826.61,692.06,786.29,882.85,814.77,756.2,660.46,529.88,432.29,,
77,17671801,2,2,3,5,1,0,0,0,0,1,1,0,,,155,213,183,169,176,154,171,155,171,197,235,60,,,173.58,224.19,222.83,214.58,184.94,156.31,159.91,157.24,145.39,195.36,193.19,197.07,230.21,236.84,195.18,175.35,268.88,192.18,171.67,,
81,17671833,2,3,4,7,1,0,0,0,0,1,1,0,,,380,415,445,398,274,204,172,165,281,430,466,109,,,241.52,573.03,474.76,275.07,250.96,167.45,158.5,145.76,148.03,258,279.14,365.98,506.64,558.26,395.68,326.54,231.65,163.9,153.14,,
82,16009590,2,4,4,8,2,1,0,2,1,1,2,0,,,606,618,495,493,244,135,140,121,379,645,456.09,,,,582.68,726.07,860.97,682.96,570.75,275.96,175.62,201.97,193.75,300.19,731.02,625.05,717.69,639.42,600.5,641.05,413.19,242.85,199.43,,
83,17671848,2,5,3,11,2,0,0,2,1,1,1,0,,,498,495,532,418,318,279,335,297,487,588,616,148,,,389.14,609.36,10.91,46.66,252.01,197.76,190.97,188.98,77.29,19.75,35.37,137.99,114.08,122.82,117.47,115.69,107.73,123.13,155.41,,
84,16009618,3,4,4,8,2,0,0,1,0,1,1,0,,,503,567,692,723,362,217,295,231,570,926,975,227,,,642.27,776.17,471.77,410.35,376.76,219.74,186.56,237.12,169.19,253.02,509.23,461.45,414.79,162.92,127.67,122.31,105.54,131.42,131.1,,
86,17671903,2,2,3,6,1,0,0,0,0,0,2,0,,,62,185,280,254,237,188,209,179,264,263,258,114,,,160.04,150.06,189.54,191.3,178.38,173.07,167.56,190.81,193.44,253.44,216.13,224.68,219.67,203.25,237.29,243.74,244.56,206.89,192.51,,
87,17671918,2,2,3,6,1,0,0,0,0,0,0,0,,,145,182,168,155,140,112,150,117,154,163,144,69,,,67.96,127.86,140.24,154.07,143.87,125.76,112.33,121.55,98.06,148.11,148.61,166.27,175.63,147.16,203.07,196.92,192.23,165.88,147.97,,
88,17671922,2,3,3,5,1,0,0,0,0,1,0,0,,,315,325,369,332,314,230,293,339,455,494,539,418,,,117.16,574.43,492.21,534.65,506.67,493.47,474.21,408.74,439.38,620.5,654.37,640.87,638.71,655.98,646.05,634.75,624.38,577.09,524.6,,
89,17671937,2,2,4,5,1,0,0,0,0,1,1,0,,,227,217,254,217,147,102,134,130,192,249,262,214,,,78.35,308.14,271.46,263.93,232.6,194.12,173.18,137.63,158.88,224.03,270.61,269.63,333.88,318.09,284.69,263.35,230.81,164.82,141.19,,
91,17336361,2,2,4,5,1,0,0,0,0,1,1,0,,,180,159,159,177,189,104,93,24,110,49,49,70,,,141.67,144.16,135.17,130.82,114.25,90.48,68.83,63.27,95.77,163.14,147.67,223.32,10.56,316.7,327.26,658.76,311.97,186.73,65.51,,
94,17324334,2,1,4,6,1,0,0,0,0,1,0,0,,,79,53,102,86,53,38,37,24,29,137,134,73,,,131,173.69,116.12,113.94,118.58,120.23,108.79,91.63,95.2,125.77,125.78,122.26,120.52,121.04,119.74,116.7,120.76,110.52,99.96,,
95,17324103,2,1,3,5,1,0,0,0,0,1,1,0,,,130,131,164,212,246,187,198,264,105,432,283,211,,,321,563.32,383.91,365.22,328.77,196.44,283.61,236.7,197.78,224.9,129.51,81.45,33.06,68.44,296.29,325.93,385.88,369.24,423.25,,
96,17323887,2,1,4,6,1,0,0,0,0,1,0,0,,,11,57,108,103,93,91,91,112,121,110,136,90,,,189.09,192.08,113.7,118.97,120.59,122.84,121.16,129.27,117.66,117.39,118.25,109.03,107.67,96.36,122.67,127.14,126.05,114.28,114.79,,
97,17324226,2,3,3,4,2,0,0,0,0,1,1,0,,,348,370,443,556,475,566,547,595,694,618,621,299,,,204.03,206.07,253.31,244.9,172.82,257.97,182.02,150.88,153.01,204.68,280.75,307.06,344.53,345.53,312.85,320.89,263.29,275.9,225.85,,
99,17329208,2,4,3,5,2,1,0,2,0,1,1,0,,,592,598,589,578,481,430,441,457,482,519,543,0,,,44.33,189.78,229.38,169.41,244.34,242.77,247.64,269.92,203.59,232.77,262.41,255.07,287.59,256.97,229.94,218.79,208.83,213.57,219.63,,
100,17329227,2,4,4,4,2,1,0,2,1,1,2,0,,,582,569,553,569,473,423,463,454,515,450,471,548,,,137.7,730.61,688.5,587.44,199.8,88.77,150.09,231.01,210.47,140.12,134.94,98.71,141.33,160.21,143.38,133.54,106.21,88.63,119.11,,
101,17329778,3,3,4,5,1,0,1,0,0,1,1,0,,,297,305,319,289,208,137,149,173,286,313,166,,,118.22,299.28,265.8,283.4,277.28,271.97,197.12,130.36,90.69,97.43,171.52,222.39,224.34,211.58,262.62,260.49,268.1,223.8,179.12,121.03,,
102,17329797,3,2,3,6,1,0,0,0,0,1,1,0,,,182,181,197,166,125,104,109,105,121,163,103,,,85.4,208.99,231.09,188.89,175.25,164.98,137.7,125.42,122.76,117.22,131.53,172.16,179.37,187.67,193.94,184.01,176.19,144.42,129.6,130.96,,
103,17329801,3,3,4,7,2,0,0,0,0,1,1,0,,,305,315,336,315,212,143,121,105,212,250,94,,,130.03,312.07,258.27,208.45,291.5,261.79,198.07,120.31,124.09,168.39,271.27,266.84,299.8,355.02,362.96,352.69,363.72,372.96,290.46,210.53,,
104,17329814,3,4,4,7,2,0,0,0,1,1,2,0,,,399,472,461,434,231,125,121,134,162,194,183,,,33.39,170.74,196.44,190.68,185.22,134.28,67.83,100.38,77.47,108.19,219.21,124.6,205.53,198.41,203.73,210.34,235.95,212.29,164.22,133.17,,
105,17329829,2,3,3,4,1,0,0,1,0,1,1,0,,,358,414,457,362,238,135,121,176,259,350,298,,,84,363.73,266.65,442.61,344.66,312.39,235.87,149.91,157.38,167.93,255.09,390.09,354.68,499.11,417.67,456.28,376.68,311.45,320.92,276.69,,
106,17329833,2,2,4,4,1,0,0,0,0,1,0,0,,,120,124,133,142,138,89,78,71,115,122,312,,,44.4,195.55,194.59,198.23,199.78,135.39,124.62,102.75,87.78,93.58,157.89,194.6,199.54,197.28,221.92,218.36,214.44,128.05,111.77,62.61,,
108,17329890,2,2,3,6,1,0,0,0,0,1,0,0,,,195,202,206,185,131,69,73,75,178,194,162,,,47.41,188.16,206.39,185.68,184.24,178.74,163.2,94.18,78.03,104.51,172.69,190.56,190.89,196.86,196.38,195.21,207.21,201.78,158.54,94.11,,
109,17329867,3,2,4,5,1,0,0,0,0,1,1,0,,,281,364,425,433,395,342,278,242,368,247,454,,,321.49,1240.07,1311.73,123.92,603.85,404,356.09,295.32,232.66,249.34,396.53,423.66,420.99,346.63,358.52,356.55,340.54,345.58,263.88,209.53,,
111,17329903,3,3,3,5,1,0,0,0,0,1,1,0,,,208,225,23,180,244,143,137,90,172,217,156,,,48.56,206.52,183.88,186.73,219.04,193.16,168.87,93.09,58.78,60.44,118.16,155.12,143.64,159.73,130.51,140.41,88.13,90.53,85.8,67.5,,
112,17329918,3,3,4,6,1,0,0,0,0,1,0,0,,,282,309,319,294,194,137,136,155,245,330,300,,,88.79,364.46,502.29,460.89,453.63,438.18,298.4,236.31,212.87,197.86,280.18,376.59,395.31,462.36,480.54,432.54,463.53,354.34,257.36,216.48,,
114,17467404,3,4,3,3,1,1,0,1,,1,,,doctor,,15,27,20,11,21,13,22,21,22,36,23,13,,,13.64,19.71,18.62,16.59,13.6,51.97,6.32,4.98,21.72,61.8,81.29,9.41,16.34,61.67,7.99,7.25,51.37,51.42,6.31,,
117,17468830,1,1,1,1,1,,,,,1,,,service,,25,28,87,96,72,36,44,41,70,83,44,330,,18.12,75.26,35.66,49.56,59,57.75,53.64,72.98,58.94,106.63,168.39,90.92,134.72,331.61,482.68,665.52,723.7,688.08,90.44,53.47,,
