Serial,Customer No,Rooms,Members,Fans,Lights,Freezes,Microwave Oven,Geyser,AC,Washing Machine,TV,PC,Induction Stove,Profession,Salary,post_21_july_unit,post_21_august_unit,post_21_sep_unit,post_21_oct_unit,post_21_nov_unit,post_21_dec_unit,post_22_jan_unit,post_22_feb_unit,post_22_mar_unit,post_22_april_unit,post_22_may_unit,post_22_june_unit,pre_22_apr_unit,pre_22_may_unit,pre_22_june_unit,pre_22_july_unit,pre_22_aug_unit,pre_22_sep_unit,pre_22_oct_unit,pre_22_nov_unit,pre_22_dec_unit,pre_23_jan_unit,pre_23_feb_unit,pre_23_mar_unit,pre_23_apr_unit,pre_23_may_unit,pre_23_june_unit,pre_23_jul_unit,pre_23_aug_unit,pre_23_sep_unit,pre_23_oct_unit,pre_23_nov_unit,pre_23_dec_unit
29.0,17718299.0,5.0,6.0,6.0,12.0,2.0,0.0,0.0,0.0,0.0,1,1,0.0,Service,,385.0,395.0,429.0,320.0,261.0,158.0,178.0,58.0,,,,,326.38,326.16,331.78,333.43,349.43,344.22,295.56,189.68,173.62,171.78,155.82,245.53,295.81,302.65,314.6,328.67,346.87,348.64,331.52,238.26,209.27
30.0,17718477.0,5.0,10.0,6.0,9.0,2.0,0.0,0.0,1.0,0.0,1,0,0.0,Business,,493.0,504.0,634.0,489.0,301.0,208.0,203.0,53.0,,,,,541.59,431.81,438.86,495.55,526.74,481.35,369.3,287.13,220.58,177.55,218.78,320.15,465.3,440.59,561.15,576.76,551.13,537.94,434.62,310.64,263.55
31.0,17718301.0,5.0,4.0,6.0,14.0,1.0,1.0,1.0,2.0,1.0,2,3,1.0,Business,,172.0,179.0,277.0,157.0,115.0,130.0,105.0,9.0,,,,,264.23,93.37,143.8,132.43,127.14,64.45,103.53,75.16,150.34,131.84,104.55,128.4,218.23,263.92,357.36,206.82,248.6,257.49,219.4,129.24,180.57
32.0,17718316.0,4.0,7.0,5.0,5.0,2.0,1.0,0.0,1.0,0.0,1,0,0.0,,,1081.0,1030.0,1290.0,992.0,787.0,555.0,640.0,167.0,,,,,1038.14,1092.47,1099.62,1265.72,1266.46,1110.3,935.65,692.01,616.11,544.3,502.41,691.23,1127.43,1176.67,1333.28,1299.73,1248.6,1266.71,1076.29,643.25,428.95
33.0,17718320.0,5.0,5.0,5.0,8.0,0.0,1.0,1.0,0.0,0.0,1,1,0.0,,,239.0,203.0,281.0,245.0,0.0,1.0,0.0,0.0,,,,,236.19,254.25,274.14,314.85,245.28,256.44,247.66,177.18,160.22,164.58,153.28,225.97,296.89,269.59,92.09,378.64,375.76,352.32,327.16,224.36,175.29
34.0,17718341.0,5.0,5.0,5.0,18.0,1.0,1.0,0.0,2.0,0.0,1,2,0.0,Business,,629.0,527.0,723.0,604.0,377.0,145.0,165.0,52.0,,,,,487.6,522.05,697.48,765.78,815.47,584.27,461.98,274.23,184.36,176.15,187.62,308.37,606.33,620.28,903.08,705.89,821.25,935.52,672.1,454.74,203.32
35.0,17718411.0,5.0,2.0,6.0,15.0,1.0,0.0,1.0,2.0,0.0,0,0,0.0,Retired,,359.0,363.0,318.0,227.0,210.0,166.0,197.0,62.0,,,,,256.81,292.68,248.34,358.07,233.58,267.97,224.4,216.72,209.01,186.62,191.43,227.05,349.67,230.52,256.74,289.28,240.97,229.45,265.1,83.61,122.72
36.0,17718388.0,3.0,6.0,5.0,8.0,2.0,1.0,0.0,1.0,0.0,2,0,0.0,Private Service,,372.0,341.0,410.0,311.0,184.0,181.0,161.0,49.0,,,,,362.35,344.58,353.6,399.31,404.37,384.11,325.09,259.84,236.75,195.76,197.51,322.82,397.09,407.14,472.34,469.59,384.52,429.71,351.41,245.44,220.03
37.0,17718271.0,6.0,5.0,8.0,20.0,3.0,1.0,3.0,6.0,1.0,3,1,0.0,Retired,,824.0,791.0,804.0,766.0,497.0,276.0,299.0,211.0,,,,,854.39,807.4,837.3,941.85,898.42,756.74,658.31,506.24,416.46,332.74,358.71,590.71,681.53,665.76,672.81,684.56,644.41,696.48,600.9,463.54,370.25
38.0,17718496.0,6.0,5.0,8.0,20.0,3.0,1.0,3.0,6.0,1.0,3,1,0.0,Retired,,758.0,735.0,785.0,657.0,589.0,484.0,536.0,184.0,,,,,739.66,735.05,711.15,784.95,772.84,781.78,668.72,466.15,401.38,405.18,437.83,519.25,775.56,614.77,602.46,690.72,566.48,652.94,553.0,316.96,218.05
39.0,17718509.0,4.0,4.0,5.0,10.0,1.0,0.0,0.0,1.0,0.0,1,2,0.0,,,0.0,0.0,0.0,162.0,309.0,201.0,316.0,142.0,,,,,693.42,603.06,649.74,673.34,707.35,610.33,748.4,274.38,189.93,242.68,163.28,204.41,706.06,519.32,734.52,715.77,583.69,59.88,68.78,167.63,110.75
40.0,17669884.0,3.0,3.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,1,1,0.0,Business,,246.0,263.0,273.0,247.0,211.0,146.0,97.0,92.0,58.0,20.0,,,87.46,167.77,139.25,142.2,166.16,148.45,95.48,59.27,123.7,75.23,81.99,138.18,126.89,152.68,266.55,225.01,222.52,219.76,169.03,121.77,122.44
41.0,17669969.0,3.0,2.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,1,1,0.0,Business,,239.0,238.0,214.0,194.0,157.0,116.0,99.0,93.0,116.0,29.0,,,230.57,174.42,196.87,188.74,197.16,168.96,176.31,157.72,110.62,93.34,84.14,106.16,172.51,119.77,169.27,173.96,183.92,171.61,175.46,125.61,99.79
42.0,17670074.0,4.0,3.0,4.0,10.0,1.0,1.0,0.0,1.0,0.0,1,1,,Business,,2.0,59.0,68.0,75.0,87.0,109.0,121.0,71.0,111.0,,,,242.53,249.72,298.77,213.09,299.16,285.29,198.02,150.59,132.41,99.04,89.08,119.61,206.09,294.06,311.09,153.73,184.82,210.56,264.34,144.51,91.17
43.0,17669954.0,5.0,5.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1,0,0.0,,,121.0,0.0,0.0,87.0,154.0,92.0,75.0,92.0,156.0,,,,214.06,139.31,216.81,227.18,207.44,205.64,204.8,132.64,127.74,113.11,110.35,181.19,188.47,192.92,131.41,187.28,196.23,168.23,174.12,154.16,113.12
44.0,17670061.0,6.0,4.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0,,,335.0,372.0,385.0,352.0,320.0,270.0,257.0,227.0,272.0,,,,347.05,367.5,360.62,393.12,382.22,377.98,313.77,312.07,235.06,264.33,255.64,327.19,307.95,343.01,314.05,287.78,319.45,323.25,306.02,270.75,230.17
45.0,17670125.0,3.0,4.0,3.0,10.0,2.0,1.0,2.0,3.0,0.0,1,0,0.0,Private Service,,989.0,1015.0,1434.0,1445.0,1249.0,763.0,948.0,744.0,427.0,303.0,,,1232.42,1204.84,1191.6,1260.57,1499.19,1444.74,1273.97,928.07,873.65,1015.28,1131.16,1848.92,1596.15,1489.59,1831.7,1900.32,1459.67,1724.73,3127.87,1562.29,833.53
46.0,17670106.0,4.0,4.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0,Service,,224.0,232.0,213.0,198.0,144.0,76.0,70.0,73.0,116.0,,,,178.34,170.38,187.25,219.98,169.1,175.34,170.68,137.21,83.73,77.84,93.63,155.47,185.99,186.73,207.05,166.32,206.48,195.07,202.49,157.04,96.02
47.0,17669941.0,4.0,4.0,3.0,6.0,1.0,0.0,0.0,1.0,0.0,1,1,,,,445.0,416.0,510.0,470.0,411.0,349.0,371.0,337.0,300.0,0.0,,,412.12,423.6,404.69,402.68,351.08,293.75,286.51,256.26,273.39,251.68,217.12,271.26,454.36,414.82,587.73,620.54,426.78,468.02,348.81,265.49,294.68
48.0,17669795.0,5.0,4.0,7.0,30.0,2.0,1.0,2.0,2.0,0.0,1,1,0.0,Business,200000.0,442.0,461.0,529.0,564.0,513.0,455.0,495.0,424.0,223.0,241.0,,,1088.88,957.3,1071.38,1182.48,1608.96,1121.2,1043.34,955.96,959.9,1117.36,1015.98,1139.7,1301.82,1064.46,1491.68,1301.08,1199.66,1402.3,1334.34,1012.52,903.24
49.0,17670040.0,3.0,5.0,5.0,14.0,2.0,1.0,0.0,1.0,1.0,2,3,1.0,Private Job,,280.0,297.0,303.0,274.0,228.0,144.0,103.0,88.0,176.0,,,,266.6,278.27,258.91,285.58,282.35,263.15,241.63,199.02,120.72,100.1,117.45,219.26,264.16,400.45,510.32,507.48,430.86,451.56,369.06,237.15,130.32
50.0,17670017.0,3.0,3.0,3.0,5.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,Business,,590.0,596.0,915.0,811.0,382.0,224.0,183.0,164.0,205.0,,,,474.84,571.52,472.02,399.57,680.66,551.42,525.07,308.14,205.11,156.01,183.2,266.77,798.36,657.96,612.98,451.58,689.8,725.51,548.11,252.18,188.9
51.0,17669795.0,3.0,4.0,3.0,7.0,1.0,1.0,0.0,1.0,0.0,1,0,,Business,,442.0,461.0,529.0,564.0,513.0,455.0,495.0,424.0,223.0,241.0,,,497.8,435.37,531.06,518.89,517.29,487.66,349.07,201.1,151.68,181.51,161.89,220.79,402.33,535.99,539.52,499.9,452.3,372.98,285.36,209.23,187.72
52.0,17669992.0,2.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1,1,0.0,Doctor,,478.0,479.0,627.0,535.0,304.0,198.0,209.0,174.0,220.0,,,,497.8,435.37,531.06,518.89,517.29,487.66,349.07,201.1,151.68,181.51,161.89,220.79,402.33,535.99,539.52,499.9,452.3,372.98,285.36,209.23,187.72
53.0,17669988.0,3.0,4.0,3.0,6.0,2.0,0.0,1.0,1.0,0.0,1,1,0.0,Banker,,455.0,469.0,473.0,410.0,312.0,198.0,206.0,192.0,281.0,,,,464.68,442.81,471.68,524.91,502.6,481.63,423.28,293.01,179.53,205.32,208.17,317.18,517.12,518.6,566.22,577.79,537.97,508.57,461.21,261.75,165.38
54.0,17669831.0,2.0,5.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0.0,Business,,191.0,212.0,193.0,164.0,128.0,85.0,107.0,96.0,120.0,,,,168.75,173.24,141.52,90.78,28.68,414.38,54.38,142.99,95.55,65.38,78.96,169.07,186.34,197.54,185.21,172.69,170.8,4.02,,,
55.0,17670021.0,3.0,3.0,3.0,8.0,1.0,1.0,0.0,2.0,0.0,0,1,0.0,Doctor,,639.0,564.0,842.0,741.0,259.0,192.0,155.0,140.0,290.0,,,,828.67,456.67,745.44,424.78,869.7,692.09,505.16,224.22,166.79,157.99,189.11,146.43,78.33,93.85,1.22,41.83,324.1,289.43,261.5,175.57,129.82
56.0,17670002.0,4.0,4.0,4.0,7.0,1.0,0.0,0.0,1.0,0.0,1,0,0.0,Foreign,,238.0,308.0,362.0,278.0,185.0,128.0,140.0,132.0,149.0,50.0,,,267.44,228.88,664.08,700.74,693.48,586.93,335.26,217.19,149.08,114.94,152.21,265.45,375.99,480.02,658.62,501.5,493.61,636.51,409.27,215.47,122.31
57.0,16008925.0,3.0,4.0,3.0,5.0,1.0,0.0,1.0,1.0,0.0,1,1,0.0,Private Job,,184.0,170.0,145.0,114.0,91.0,26.0,37.0,57.0,67.0,24.0,,,132.92,101.28,135.02,90.02,123.73,143.71,132.24,98.34,70.53,59.4,69.43,114.17,114.23,148.09,210.05,282.57,260.06,233.73,228.39,127.57,41.96
58.0,17669846.0,5.0,3.0,5.0,8.0,2.0,0.0,1.0,2.0,1.0,1,1,0.0,Private Job,,313.0,341.0,366.0,303.0,235.0,173.0,166.0,148.0,181.0,,,,301.19,321.28,319.45,325.06,381.46,320.45,299.59,219.71,172.21,150.74,164.09,217.61,358.71,350.81,399.05,430.15,331.92,359.29,358.77,246.96,187.14
59.0,17670036.0,2.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0,,,235.0,265.0,271.0,243.0,199.0,147.0,121.0,107.0,163.0,,,,232.24,255.47,251.2,251.06,255.35,261.85,232.37,199.34,154.81,100.97,114.4,189.56,221.91,236.89,230.76,247.07,244.48,249.53,247.69,176.28,120.42
60.0,17670055.0,3.0,4.0,4.0,9.0,1.0,0.0,0.0,2.0,0.0,2,0,0.0,Business,50000.0,180.0,202.0,14.0,306.0,279.0,153.0,122.0,105.0,174.0,,,,267.63,307.97,288.08,307.09,335.97,309.52,289.15,210.47,172.07,159.78,181.85,287.05,369.22,474.47,654.46,609.91,585.49,549.7,478.88,308.62,198.16
61.0,16013866.0,3.0,5.0,4.0,10.0,1.0,1.0,1.0,2.0,1.0,1,0,0.0,Govt Employee,,154.0,163.0,159.0,149.0,138.0,108.0,141.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,16013902.0,4.0,7.0,4.0,9.0,2.0,1.0,0.0,2.0,1.0,2,1,0.0,,,114.0,109.0,108.0,86.0,59.0,46.0,241.0,0.0,0.0,52.0,113.0,13.0,,,88.1,129.97,121.56,120.24,122.36,108.14,97.48,106.6,83.89,125.03,186.49,193.73,235.69,172.83,153.07,136.51,114.73,95.34,70.93
63.0,16013885.0,2.0,4.0,3.0,5.0,1.0,0.0,0.0,1.0,0.0,1,0,0.0,,,300.0,317.0,279.0,275.0,213.0,148.0,129.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,16013936.0,3.0,3.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,1,0,0.0,,,119.0,113.0,129.0,123.0,83.0,63.0,56.0,60.0,90.0,131.0,141.0,36.0,,,102.7,142.96,143.51,132.38,129.0,82.47,85.11,71.85,72.11,95.92,130.83,128.65,143.68,159.61,168.83,151.89,134.26,95.41,76.92
65.0,16013940.0,2.0,3.0,3.0,6.0,1.0,0.0,0.0,1.0,0.0,1,1,0.0,,,213.0,219.0,211.0,201.0,160.0,149.0,163.0,121.0,150.0,158.0,220.0,47.0,,,133.55,187.32,154.51,173.05,156.98,149.56,147.98,167.14,145.94,161.89,169.83,134.77,151.01,167.78,179.74,154.3,158.34,124.42,149.13
66.0,16013989.0,3.0,4.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,1,0,0.0,,,100.0,108.0,113.0,103.0,105.0,89.0,200.0,222.0,97.0,120.0,214.0,214.0,,,,,,,,,,,,,,,,,,,,,
67.0,16010880.0,4.0,7.0,5.0,6.0,2.0,1.0,1.0,1.0,0.0,1,1,0.0,,,573.0,533.0,520.0,490.0,369.0,221.0,0.0,451.0,425.0,533.0,392.0,460.0,,,,,,,,,,,,,,,,,,,,,
68.0,16008791.0,3.0,6.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,1,2,0.0,,,377.0,460.0,308.0,265.0,304.0,279.0,236.0,194.0,157.0,110.0,,,170.61,444.18,539.38,384.19,627.77,572.81,484.17,276.36,219.25,191.23,147.69,353.74,462.27,432.01,345.83,248.18,504.86,570.43,499.98,535.9,482.94
69.0,16008874.0,2.0,3.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0,,,197.0,280.0,329.0,373.0,233.0,247.0,295.0,261.0,237.0,275.0,336.0,77.0,,,215.59,324.16,286.87,258.48,258.1,206.18,329.96,271.56,198.86,179.89,268.45,200.65,414.73,321.59,301.25,321.06,186.31,84.2,211.98
70.0,16008910.0,3.0,7.0,4.0,6.0,2.0,1.0,0.0,1.0,1.0,2,2,0.0,,,633.0,645.0,627.0,652.0,453.0,357.0,341.0,332.0,535.0,582.0,669.0,386.0,,,162.16,617.66,503.61,485.28,450.35,344.76,309.08,299.24,296.23,449.71,597.16,564.2,591.8,666.72,687.12,676.51,598.35,483.69,377.06
71.0,17336658.0,2.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,,,11.0,13.0,33.0,36.0,38.0,23.0,26.0,14.0,27.0,42.0,41.0,18.0,,,13.17,24.56,21.07,21.13,35.63,41.37,26.4,22.96,26.56,38.67,37.7,42.94,56.26,52.95,54.11,48.75,44.03,34.26,27.56
72.0,16009073.0,2.0,5.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,1,1,0.0,,,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,,,,,,,,,,,,,,,,,,,,,
73.0,17672117.0,3.0,4.0,4.0,7.0,2.0,1.0,1.0,2.0,1.0,2,1,0.0,,,722.0,743.0,768.0,703.0,527.0,242.0,359.0,339.0,609.0,722.0,816.0,760.0,,,,,,,,,,,,,,,,,,,,,
